name;short_text;prob2_0;prob2_1;prob2_2;prob2_3;prob2_4;prob2_5;prob2_6;prob2_7;prob2_8;prob2_9;prob2_10;prob2_11;prob2_12
b1_p1_h1;Мелеховский двор — на самом краю хутора. Воротца со скотиньего база ведут на север к Дону. Крутой восьмисаженный спуск меж замшелых в прозелени меловы;0.0070579759553975946;0.011619350859631212;0.008384677448985007;0.01022344929927222;0.010758471939066068;0.018063314798900144;0.010218024140488358;0.013698388935420299;0.012880733075614348;0.012841189407298318;0.014107630437323342;0.01063189583331463;0.008131773377314036
b1_p1_h2;Редкие в пепельном рассветном небе зыбились звезды. Из-под туч тянул ветер. Над Доном на дыбах ходил туман и, пластаясь по откосу меловой горы, сполза;0.011726159094849423;0.018340723585351933;0.015257711772669628;0.022661859035988743;0.021695344576071245;0.030182962531283334;0.017163471434149462;0.02268071609864854;0.021767688830653015;0.0233664260144611;0.02124717263684115;0.017098433460336734;0.013714994870998516
b1_p1_h3;"Григорий пришел с игрищ после первых кочетов. Из сенцев пахнуло на него запахом перекисших хмелин и пряной сухменью богородицыной травки.
На цыпочках ";0.01750491482848735;0.02857864323309183;0.02551601779876788;0.03517687048637315;0.028372968355065805;0.05081197019708794;0.024228226170509903;0.034505596837734555;0.03544377174283104;0.034660368584951216;0.0343844399078204;0.027691641634034186;0.023684380848607182
b1_p1_h4;К вечеру собралась гроза. Над хутором стала бурая туча. Дон, взлохмаченный ветром, кидал на берега гребнистые частые волны. За левадами палила небо су;0.02695907218571951;0.04417864452717055;0.03409009825593249;0.04999942899426823;0.04455620516321647;0.0848517929624277;0.0406525630776589;0.05478896198639107;0.037527301678056284;0.05672792962680689;0.060554804158011295;0.0393599863143604;0.03392307311821937
b1_p1_h5;До хутора Сетракова — места лагерного сбора — шестьдесят верст. Петро Мелехов и Астахов Степан ехали на одной бричке. С ними еще трое казаков-хуторян:;0.0758393313039622;0.1581831195184962;0.09493559124882957;0.1088606362891647;0.11730708387114089;0.20284294150920656;0.13050587915893197;0.12317967314941115;0.10702918024520429;0.11496768678164505;0.16068951911856788;0.10746123204416252;0.1014441367563811
b1_p1_h6;"Возле лобастого, с желтой песчаной лысиной кургана остановились ночевать.
С запада шла туча. С черного ее крыла сочился дождь. Поили коней в пруду. На";0.05296318277783218;0.09001593506272908;0.061268963508320416;0.08459843625865142;0.08675275217211033;0.10767408217871832;0.07108243038613453;0.083452669447809;0.08877288384722745;0.07620582382286273;0.08128202093568787;0.06979287082188035;0.06084580169943634
b1_p1_h7;"Аксинью выдали за Степана семнадцати лет. Взяли ее с хутора Дубровки, с той стороны Дона, с песков.
За год до выдачи осенью пахала она в степи, верст ";0.011074965341853269;0.025005051741374275;0.018964929162287238;0.02090180871057663;0.022091970451098307;0.03848189219699115;0.019109111651637735;0.030680266796439478;0.021908595006996892;0.024045155828212685;0.027932085677366526;0.02180333604645095;0.0176677884660078
b1_p1_h8;За два дня до троицы хуторские делили луг. На дележ ходил Пантелей Прокофьевич. Пришел оттуда в обед, кряхтя скинул чирики и, смачно почесывая натруже;0.012479328002326881;0.026005430022375355;0.01540769869137829;0.026940706622938272;0.021155990697006268;0.04384340652439857;0.021015988296500143;0.027620775802772835;0.027413300834786915;0.025805239345808702;0.031049673727580857;0.02151677290125824;0.016901192047883914
b1_p1_h9;От троицы только и осталось по хуторским дворам: сухой чабрец, рассыпанный на полах, пыль мятых листьев да морщиненная, отжившая зелень срубленных дуб;0.013597940868315435;0.0247965984959268;0.01598664454526833;0.0227862886338143;0.023800341198374524;0.035576319256799535;0.02047869336459694;0.025478640220776092;0.02452629157332314;0.028756324756183872;0.02856694512126738;0.018946677495824925;0.01882176253479201
b1_p1_h10;"Не лазоревым алым цветом 10, а собачьей бесилой, дурнопьяном придорожным цветет поздняя бабья любовь.
С лугового покоса переродилась Аксинья. Будто кт";0.013501905375009664;0.025613740584232898;0.018034827515664337;0.02704808592167445;0.026411699566644475;0.042582971200953286;0.01597029205288685;0.03430151777301608;0.02781789427580627;0.03053083673335188;0.022696549756577106;0.018823309305994004;0.019751714654310196
