name;short_text;ATolstoy;Sholokhov;Krukov
Tihiy_Don_145;Кошевой, задумчиво похлопывая плеткой по голенищу, уронив голову, медленно всходил по порожкам моховского дома. Около дверей в коридоре, прямо на полу;0.008877047654169414;0.050935476003726166;0.002549313389351782
Tihiy_Don_111;Полая вода только что начала сбывать. На лугу, около огородных плетней, оголилась бурая, илистая земля, каймой лежал наплав: оставшиеся от разлива обл;0.002022738886938106;0.05254212281479436;0.002111663311528862
Tihiy_Don_124;15 мая атаман Всевеликого войска Донского Краснов, сопутствуемый председателем совета управляющих, управляющим отделом иностранных дел генерал-майором;0.3731071956003972;0.0002641729613901644;0.03782965676350514
Tihiy_Don_130;Цепь дней. Звено, вкованное в звено. Переходы, бои, отдых. Жара. Дождь. Смежные запахи конского пота и нагретой кожи седла. В жилах от постоянного нап;0.00860343121000827;0.002843541023663593;0.0017692509691176466
Tihiy_Don_198;Удивительно, как изменилась жизнь в семье Мелеховых! Совсем недавно Пантелей Прокофьевич чувствовал себя в доме полновластным хозяином, все домашние е;0.0015440890443532507;0.19786709772806552;0.0008774002569531927
Tihiy_Don_167;По хутору Бахмуткину гасли последние огни. Легкий морозец тончайшей пленкой льда крыл лужицы. Где-то за хутором, за толокой, на прошлогодней стерне оп;0.004140564209119109;0.01998635334259396;0.0009738552738061373
Tihiy_Don_1;В предпоследнюю турецкую кампанию вернулся в хутор казак Мелехов Прокофий. Из Туретчины привел он жену - маленькую, закутанную в шаль женщину. Она пря;0.0005280138422251302;0.06909591809469508;0.0036794214822328617
Tihiy_Don_85;Кинутые на Петроград части 3-го конного корпуса и Туземной дивизии эшелонировались на огромном протяжении восьми железных дорог: Ревель, Везенберг, На;0.0015969190543925892;0.00113109541117174;0.0016338918059638464
Tihiy_Don_53;Из этого после сделали подвиг. Крючков, любимец командира сотни, по его реляции получил Георгия. Товарищи его остались в тени. Героя отослали в штаб д;0.03736627645497028;0.002529423570675419;0.01393799141080464
Tihiy_Don_97;"С крыш падали пожелтевшие от соломы сосульки, разбивались со стеклянным звоном. В хуторе лужинами и проталинами цвела оттепель; по улицам, принюхиваяс";0.0019001419175764336;0.03356974618207141;0.002219098756648018
Tihiy_Don_57;Операция по захвату города началась рано утром. Пехотные части, имея на флангах и в резерве кавалерию, должны были повести наступление от леса с рассв;0.027257218361104302;0.0028229031320756853;0.001281657244244799
Tihiy_Don_52;В местечке Торжок полк разбили по сотням. Шестая сотня, на основании приказа штаба дивизии, была послана в распоряжение Третьего армейского пехотного ;0.00559140916820009;0.01022334903899658;0.0005328238095448547
Tihiy_Don_59;"Дивизия получила задание форсировать реку Стырь и около Ловишчей выйти противнику в тыл.
Листницкий за несколько дней сжился с офицерским составом пол";0.02618250943362992;0.0035084330659838265;0.002929644341550598
Tihiy_Don_40;"Григорий вернулся из Миллерова, куда отвозил Евгения, в вербное воскресенье. Оттепель съела снег; дорога испортилась в каких-нибудь два дня.
В Ольхово";0.001951112656331681;0.02947611897481028;0.0020113755227842986
Tihiy_Don_193;Темны июньские ночи на Дону. На аспидно-черном небе в томительном безмолвии вспыхивают золотые зарницы, падают звезды, отражаясь в текучей быстрине До;0.0007237193121605121;0.3505751783307052;0.0014162556412450724
Tihiy_Don_113;В Каргинскую приехали перед вечером. В станице уже не было фронтовиков - ушли на Мигулинскую. Петро, спешив свой отряд на площади, возле магазина купц;0.00128152281899944;0.0028595688175449712;0.001980346780964889
Tihiy_Don_223;Григорию тяжело было встречаться с Кошевым. Отношения их определились с первого дня, и разговаривать им было больше не о чем, да и не к чему. По всей ;0.003098764572641212;0.0682341452222825;0.0033872033597859767
Tihiy_Don_171;"На другой день, перед отъездом Григорий коротко объяснился с Натальей. Она отозвала его в сторону, шепотом спросила:
- Куда ночью ходил? Откель это та";0.001212756258568948;0.4250508136548729;0.0015558604258806966
